=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2018.12.10 05:59:55 =~=~=~=~=~=~=~=~=~=~=~=
1hm
ms -> 997ms, 1000ms -> 1000ms, 54.82 LDR mV | 8.29 lx | 995.58 hPa | 18.67 °C | 18.28 RH % | 0.00 CO vout raw | inf CO rs ohm
ms -> 997ms, 1000ms -> 1000ms, 54.82 LDR mV | 8.29 lx | 995.58 hPa | 18.67 °C | 18.28 RH % | 0.00 CO vout raw | inf CO rs ohm
SAP::STATUS {
  STATUS::OK == 0
  STATUS::BAD_WIRING_I2C_BME280 == 1
  STATUS::BAD_ILLUMINANCE == 2
};
--> sap.status: 0 <--
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 955.98 hPa | 18.67 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1001ms, 46.99 LDR mV | 7.24 lx | 995.60 hPa | 18.67 °C | 18.28 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.56 hPa | 18.67 °C | 18.28 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 46.99 LDR mV | 7.24 lx | 995.61 hPa | 18.66 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 54.82 LDR mV | 8.29 lx | 995.62 hPa | 18.67 °C | 19.35 RH % | 1.00 CO vout raw | 10310407.00 CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 46.99 LDR mV | 7.24 lx | 995.59 hPa | 18.66 °C | 18.28 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 46.99 LDR mV | 7.24 lx | 995.65 hPa | 18.65 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 46.99 LDR mV | 7.24 lx | 995.63 hPa | 18.64 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.68 hPa | 18.63 °C | 19.35 RH % | 5.00 CO vout raw | 2054018.62 CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.60 hPa | 18.64 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 54.82 LDR mV | 8.29 lx | 995.62 hPa | 18.63 °C | 19.35 RH % | 1.00 CO vout raw | 10310407.00 CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 998ms, 1000ms -> 1001ms, 50.91 LDR mV | 7.76 lx | 995.65 hPa | 18.63 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 46.99 LDR mV | 7.24 lx | 995.72 hPa | 18.62 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.70 hPa | 18.61 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 46.99 LDR mV | 7.24 lx | 995.59 hPa | 18.60 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 46.99 LDR mV | 7.24 lx | 995.75 hPa | 18.60 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 46.99 LDR mV | 7.24 lx | 995.64 hPa | 18.60 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.64 hPa | 18.61 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 39.16 LDR mV | 6.32 lx | 995.59 hPa | 18.61 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 43.08 LDR mV | 6.84 lx | 995.65 hPa | 18.62 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 50.91 LDR mV | 7.76 lx | 995.65 hPa | 18.62 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.69 hPa | 18.61 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 50.91 LDR mV | 7.76 lx | 995.68 hPa | 18.60 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 46.99 LDR mV | 7.24 lx | 995.64 hPa | 18.59 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 46.99 LDR mV | 7.24 lx | 995.64 hPa | 18.60 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 0.00 LDR mV | 0.00 lx | 995.61 hPa | 18.59 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.65 hPa | 18.59 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 35.24 LDR mV | 5.79 lx | 995.62 hPa | 18.61 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 27.41 LDR mV | 4.76 lx | 995.63 hPa | 18.63 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.66 hPa | 18.63 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1001ms, 23.50 LDR mV | 4.28 lx | 995.57 hPa | 18.65 °C | 20.43 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 1001ms, 11.75 LDR mV | 2.84 lx | 995.63 hPa | 18.64 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 994ms, 997ms -> 997ms, 1000ms -> 1000ms, 31.33 LDR mV | 5.26 lx | 995.65 hPa | 18.65 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 39.16 LDR mV | 6.32 lx | 995.63 hPa | 18.65 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 0.00 LDR mV | 0.00 lx | 995.61 hPa | 18.70 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 39.16 LDR mV | 6.32 lx | 995.61 hPa | 18.74 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 50.91 LDR mV | 7.76 lx | 995.62 hPa | 18.74 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 15ms, 995ms -> 996ms, 997ms -> 998ms, 1000ms -> 1001ms, 43.08 LDR mV | 6.84 lx | 995.71 hPa | 18.72 °C | 18.28 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 19.58 LDR mV | 3.80 lx | 995.68 hPa | 18.73 °C | 18.28 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 13ms, 995ms -> 994ms, 997ms -> 996ms, 1000ms -> 999ms, 0.00 LDR mV | 0.00 lx | 995.63 hPa | 18.72 °C | 19.35 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 0.00 LDR mV | 0.00 lx | 995.63 hPa | 18.73 °C | 18.28 RH % | 0.00 CO vout raw | inf CO rs ohm
14ms -> 14ms, 995ms -> 995ms, 997ms -> 997ms, 1000ms -> 1000ms, 50.91 LDR mV | 7.76 lx | 995.64 hPa | 18.74 °C | 18.28 RH % | 0.00 CO vout raw | inf CO rs ohm
